"Latitude","Longitude","Height"
50.04583,-101.7708,585
50.04583,-101.7208,573
50.04583,-101.6708,543
50.04583,-101.6208,573
50.04583,-101.5708,567
50.04583,-101.5208,561
50.04583,-101.4708,530
50.04583,-101.4208,512
50.04583,-101.3708,512
50.04583,-101.3208,500
50.04583,-101.2708,488
50.04583,-101.2208,494
50.04583,-101.1708,488
50.04583,-101.1208,475
50.04583,-101.0708,469
50.04583,-101.0208,463
50.04583,-100.9708,457
50.04583,-100.9208,439
50.04583,-100.8708,457
50.04583,-100.8208,457
50.04583,-100.7708,469
50.04583,-100.7208,475
50.04583,-100.6708,482
50.04583,-100.6208,488
50.04583,-100.5708,482
50.04583,-100.5208,475
50.04583,-100.4708,475
50.04583,-100.4208,475
50.04583,-100.3708,475
50.04583,-100.3208,475
50.04583,-100.2708,475
50.04583,-100.2208,482
50.04583,-100.1708,488
50.04583,-100.1208,506
50.04583,-100.0708,500
50.04583,-100.0208,500
50.04583,-99.97083,500
50.04583,-99.92083,488
50.04583,-99.87083,475
50.04583,-99.82083,463
50.04583,-99.77084,451
50.04583,-99.72083,427
50.04583,-99.67083,415
50.04583,-99.62083,396
50.04583,-99.57083,390
50.04583,-99.52084,384
50.04583,-99.47083,384
50.04583,-99.42083,384
50.04583,-99.37083,384
50.04583,-99.32083,384
50.04583,-99.27084,384
50.04583,-99.22083,372
50.04583,-99.17083,341
50.04583,-99.12083,317
50.04583,-99.07083,305
50.04583,-99.02084,299
50.04583,-98.97083,293
50.04583,-98.92083,287
50.04583,-98.87083,280
50.04583,-98.82083,280
50.04583,-98.77084,274
50.04583,-98.72083,262
50.04583,-98.67083,262
50.04583,-98.62083,262
50.04583,-98.57083,256
50.04583,-98.52084,256
50.04583,-98.47083,256
50.04583,-98.42083,256
50.04583,-98.37083,256
50.04583,-98.32083,250
50.04583,-98.27084,250
50.04583,-98.22083,250
50.04583,-98.17083,250
50.04583,-98.12083,250
50.04583,-98.07083,250
50.04583,-98.02084,244
50.04583,-97.97083,244
50.04583,-97.92083,244
50.04583,-97.87083,244
50.04583,-97.82083,244
50.04583,-97.77084,244
50.04583,-97.72083,244
50.04583,-97.67083,238
50.04583,-97.62083,238
50.04583,-97.57083,238
50.04583,-97.52084,238
50.04583,-97.47083,244
50.04583,-97.42083,244
50.04583,-97.37083,238
50.04583,-97.32083,238
50.04583,-97.27084,232
50.04583,-97.22083,232
50.04583,-97.17083,232
50.04583,-97.12083,232
50.04583,-97.07083,226
50.04583,-97.02084,226
50.04583,-96.97083,226
50.04583,-96.92083,232
50.04583,-96.87083,244
50.04583,-96.82083,232
50.04583,-96.77084,232
50.04583,-96.72083,238
50.04583,-96.67083,244
50.04583,-96.62083,238
50.04583,-96.57083,244
50.04583,-96.52084,244
50.04583,-96.47083,244
50.04583,-96.42083,244
50.04583,-96.37083,250
50.04583,-96.32083,268
50.04583,-96.27084,274
50.04583,-96.22083,287
50.04583,-96.17083,287
50.04583,-96.12083,280
50.04583,-96.07083,274
50.04583,-96.02084,262
50.04583,-95.97083,280
50.04583,-95.92083,280
50.04583,-95.87083,287
50.04583,-95.82083,287
50.04583,-95.77084,299
50.04583,-95.72083,305
50.04583,-95.67083,305
50.04583,-95.62083,305
50.04583,-95.57083,311
50.04583,-95.52084,305
50.04583,-95.47083,311
50.04583,-95.42083,329
50.04583,-95.37083,329
50.04583,-95.32083,329
50.04583,-95.27084,335
50.04583,-95.22083,335
50.04583,-95.17083,335
50.04583,-95.12083,335
50.04583,-95.07083,329
50.04583,-95.02084,335
50.04583,-94.97083,360
50.04583,-94.92083,299
50.04583,-94.87083,311
50.04583,-94.82083,311
50.04583,-94.77084,323
50.04583,-94.72083,335
50.04583,-94.67083,311
50.04583,-94.62083,347
50.04583,-94.57083,347
50.04583,-94.52084,384
50.04583,-94.47083,390
50.04583,-94.42083,415
50.04583,-94.37083,378
50.04583,-94.32083,372
50.04583,-94.27084,360
50.04583,-94.22083,354
50.04583,-94.17083,390
50.04583,-94.12083,396
50.04583,-94.07083,396
50.04583,-94.02084,372
50.04583,-93.97083,421
50.04583,-93.92083,415
50.04583,-93.87083,360
50.04583,-93.82083,396
50.04583,-93.77084,378
50.04583,-93.72083,396
50.04583,-93.67083,408
50.04583,-93.62083,354
50.04583,-93.57083,341
50.04583,-93.52084,323
50.04583,-93.47083,323
50.04583,-93.42083,366
50.04583,-93.37083,329
50.04583,-93.32083,390
50.04583,-93.27084,390
50.04583,-93.22083,427
50.04583,-93.17083,408
50.04583,-93.12083,421
50.04583,-93.07083,415
50.04583,-93.02084,408
50.04583,-92.97083,421
50.04583,-92.92083,402
50.04583,-92.87083,421
50.04583,-92.82083,402
50.04583,-92.77084,415
50.04583,-92.72083,421
50.04583,-92.67083,415
50.04583,-92.62083,390
50.04583,-92.57083,390
50.04583,-92.52084,415
50.04583,-92.47083,427
50.04583,-92.42083,415
50.04583,-92.37083,396
50.04583,-92.32083,384
50.04583,-92.27084,360
50.04583,-92.22083,360
50.04583,-92.17083,360
50.04583,-92.12083,360
50.04583,-92.07083,390
50.04583,-92.02084,372
50.04583,-91.97083,354
50.04583,-91.92083,366
50.04583,-91.87083,354
50.04583,-91.82083,360
50.04583,-91.77084,396
50.04583,-91.72083,396
50.04583,-91.67083,408
50.04583,-91.62083,408
50.04583,-91.57083,390
50.04583,-91.52084,415
50.04583,-91.47083,402
50.04583,-91.42083,402
50.04583,-91.37083,396
50.04583,-91.32083,396
50.04583,-91.27084,390
50.04583,-91.22083,390
50.04583,-91.17083,402
50.04583,-91.12083,396
50.04583,-91.07083,421
50.04583,-91.02084,469
50.04583,-90.97083,463
50.04583,-90.92083,457
50.04583,-90.87083,457
50.04583,-90.82083,439
50.04583,-90.77084,433
50.04583,-90.72083,408
50.04583,-90.67083,445
50.04583,-90.62083,439
50.04583,-90.57083,433
50.04583,-90.52084,427
50.04583,-90.47083,427
50.04583,-90.42083,421
50.04583,-90.37083,421
50.04583,-90.32083,421
50.04583,-90.27084,421
50.04583,-90.22083,451
50.04583,-90.17083,421
50.04583,-90.12083,427
50.04583,-90.07083,451
50.04583,-90.02084,433
50.09583,-112.4958,829
50.09583,-112.4458,829
50.09583,-112.3958,811
50.09583,-112.3458,805
50.09583,-112.2958,799
50.09583,-112.2458,792
50.09583,-112.1958,792
50.09583,-112.1458,780
50.09583,-112.0958,768
50.09583,-112.0458,762
50.09583,-111.9958,786
50.09583,-111.9458,762
50.09583,-111.8958,786
50.09583,-111.8458,792
50.09583,-111.7958,780
50.09583,-111.7458,786
50.09583,-111.6958,774
50.09583,-111.6458,762
50.09583,-111.5958,744
50.09583,-111.5458,756
50.09583,-111.4958,756
50.09583,-111.4458,750
50.09583,-111.3958,756
50.09583,-111.3458,756
50.09583,-111.2958,768
50.09583,-111.2458,768
50.09583,-111.1958,768
50.09583,-111.1458,774
50.09583,-111.0958,780
50.09583,-111.0458,805
50.09583,-110.9958,792
50.09583,-110.9458,786
50.09583,-110.8958,774
50.09583,-110.8458,750
50.09583,-110.7958,738
50.09583,-110.7458,725
50.09583,-110.6958,671
50.09583,-110.6458,652
50.09583,-110.5958,701
50.09583,-110.5458,713
50.09583,-110.4958,732
50.09583,-110.4458,750
50.09583,-110.3958,786
50.09583,-110.3458,792
50.09583,-110.2958,780
50.09583,-110.2458,768
50.09583,-110.1958,738
50.09583,-110.1458,732
50.09583,-110.0958,719
50.09583,-110.0458,719
50.09583,-109.9958,719
50.09583,-109.9458,750
50.09583,-109.8958,744
50.09583,-109.8458,732
50.09583,-109.7958,707
50.09583,-109.7458,707
50.09583,-109.6958,719
50.09583,-109.6458,713
50.09583,-109.5958,719
50.09583,-109.5458,719
50.09583,-109.4958,725
50.09583,-109.4458,744
50.09583,-109.3958,762
50.09583,-109.3458,780
50.09583,-109.2958,762
50.09583,-109.2458,756
50.09583,-109.1958,738
50.09583,-109.1458,738
50.09583,-109.0958,738
50.09583,-109.0458,738
50.09583,-108.9958,768
50.09583,-108.9458,768
50.09583,-108.8958,762
50.09583,-108.8458,774
50.09583,-108.7958,786
50.09583,-108.7458,799
50.09583,-108.6958,805
50.09583,-108.6458,792
50.09583,-108.5958,792
50.09583,-108.5458,792
50.09583,-108.4958,786
50.09583,-108.4458,786
50.09583,-108.3958,878
50.09583,-108.3458,878
50.09583,-108.2958,884
50.09583,-108.2458,872
50.09583,-108.1958,866
50.09583,-108.1458,853
50.09583,-108.0958,835
50.09583,-108.0458,817
50.09583,-107.9958,841
50.09583,-107.9458,847
50.09583,-107.8958,847
50.09583,-107.8458,890
50.09583,-107.7958,890
